SCHM_CODE,DEL_FLG,SCHM_DESC,INT_PAID_BACID,INT_COLL_BACID,GL_SUB_HEAD_CODE,SERV_CHRG_COLL_FLG,BACK_DATE_TRAN_EXCP_CODE,VAL_DATE_TRAN_EXCP_CODE,ACCT_IN_CR_BAL_EXCP_CODE,MIN_POSTING_WORKCLASS,SCHM_TYPE,INT_PAID_FLG,INT_COLL_FLG,STAFF_SCHM_FLG,NRE_SCHM_FLG,MERGE_INT_PTRAN_FLG,LCHG_USER_ID,RCRE_USER_ID,LCHG_TIME,RCRE_TIME,MICR_CHQ_CHRG_BACID,INSUFF_AVAIL_BAL_EXCP_CODE,FD_CR_BACID,FD_DR_BACID,FX_TRAN_FLG,STP_CR_DR_IND,FCNR_FLG,INT_PANDL_BACID,PARKING_BACID,INT_PAID_COLL_CRNCY_FLG,CASH_WD_WO_CHQ_EXCP_CODE,ACCT_NAME_CHANGED_EXCP_CODE,XFER_IN_INT_DETAILS_FLG,ACCT_REFERENCE_EXCP_CODE,DR_OPER_ACCT_IF_NO_BAL_FLG,INT_DR_CUST_DIFF_EXCP_CODE,INT_CR_CUST_DIFF_EXCP_CODE,ISO_USER_TOD_GRNT_EXCP_CODE,ISO_AUTO_TOD_GRNT_EXCP_CODE,INTER_SOL_CLOSURE_ALWD_FLG,LEVY_TAX_PCNT_1,LEVY_TAX_PCNT_2,LEVY_TAX_PCNT_3,LEVY_TAX_DESC_1,LEVY_TAX_DESC_2,LEVY_TAX_DESC_3,LEVY_TAX_BACID_1,LEVY_TAX_BACID_2,LEVY_TAX_BACID_3,LEVY_TAX_MERGE_PTRAN_FLG,PEG_INT_FOR_AC_FLG,MOD_OF_PEG_INT_ALLOWED_FLG,PEG_REVIEW_PREF_FROM_CUST,DFLT_INT_PAR_CHNG_EXCP_CODE,CLS_PEND_REVERSAL_EXCP_CODE,CHQ_ISSUED_ACK_EXCP_CODE,ACCT_CLOSURE_CHRG_DAYS,ACCT_CLOSURE_CHRG_MNTHS,ACCT_MAINT_PERIOD,MIN_COMMIT_CHRG_UTIL_PCNT,COMMIT_CALC_METHOD,INACTIVE_ACCT_CHRG_DAYS,INACTIVE_ACCT_CHRG_MNTHS,DORMANT_ACCT_CHRG_DAYS,DORMANT_ACCT_CHRG_MNTHS,PARTITION_MANDATORY_FLG,BOOK_TRAN_SCRIPT,INTCALC_TRAN_SCRIPT,ADVANCE_INT_BACID,TDS_PARKING_BACID,PENAL_PANDL_BACID,DFLT_CLG_TRAN_CODE,DFLT_INST_TYPE,CHQ_UNUSABLE_EXCP_CODE,INT_PANDL_BACID_CR,INT_PANDL_BACID_DR,BEL_MIN_BAL_EXCP_CODE,PEN_CHRG_NCALC_EXCP_CODE,INT_FREQ_TYPE_CR,INT_FREQ_WEEK_NUM_CR,INT_FREQ_WEEK_DAY_CR,INT_FREQ_START_DD_CR,PD_GL_SUB_HEAD_CODE,PS_FREQ_WEEK_DAY,PS_FREQ_START_DD,PS_FREQ_HLDY_STAT,AUTO_RENEWAL_PERIOD_FLG,PRODUCT_GROUP,PRINCIPAL_LOSSLINE_BACID,RECOVER_LOSSLINE_BACID,CHRGE_OFF_BACID,INT_WAIVER_BACID,DAILY_COMP_INT_FLG,DISC_RATE_FLG,START_DATE,END_DATE,FIXEDTERM_MNTHS,FIXEDTERM_YEARS,REPRICING_PLAN,REPRICING_FREQ_MNTHS,REPRICING_FREQ_DAYS,REPRICING_YEAR_IND,FLOAT_INT_TBL_CODE,FLOAT_REPRICING_FREQ_MNTHS,FLOAT_REPRICING_FREQ_DAYS,SCRIPT_VALUE_DATE_EXCP_CODE,CUST_MIN_AGE,CUST_MAX_AGE,SCHM_SHORT_NAME,BANK_ID,SYN_AGENT_SCHEME,PRODUCT_CONCEPT,SCHM_NATURE
B5091,N,DH - DAIMLER FINANCIAL SERVICES OFFER 3,,39414010,21312, ,B16,B19,B27,560,CLA, ,Y,N,N, ,EOD6,EXIMIT,32:50.0,57:07.0,,,,,N, ,N,,,A,,, ,, ,,,,,N,0,0,0,,,,,,, ,Y, ,N,B31,,,0,0, ,0, ,0,0,0,0, ,,,,,39414017,,,,,39414017,,, , ,0,0,21313,0,0, , ,DC1,21692000,21693000,21660000,39414017, ,N,00:00.0,00:00.0,12,0,L,0,0,A,A9954,0,0,B17,0,0,,1,N,DC103,N
B5083,N,NH - DAIMLER FINANCIAL SERVICES OFFER 4,,39411010,21112, ,B16,B19,B27,560,CLA, ,Y,N,N, ,ASSET2,EXIMIT,33:15.0,59:20.0,,,,,N, ,N,,,A,,, ,, ,,,,,N,0,0,0,,,,,,, ,Y, ,N,B31,,,0,0, ,0, ,0,0,0,0, ,,,,,39411017,,,,,39411017,,, , ,0,0,21113,0,0, , ,DC1,21492000,21493000,21460000,39411017, ,N,00:00.0,00:00.0,12,0,L,0,0,A,A9954,12,0,B17,0,0,,1,N,DC101,N
B5084,N,TH - DAIMLER FINANCIAL SERVICES OFFER 4,,39413010,21212, ,B16,B19,B27,560,CLA, ,Y,N,N, ,EOD6,EXIMIT,33:05.0,00:41.0,,,,,N, ,N,,,A,,, ,, ,,,,,N,0,0,0,,,,,,, ,Y, ,N,B31,,,0,0, ,0, ,0,0,0,0, ,,,,,39413017,,,,,39413017,,, , ,0,0,21213,0,0, , ,DC1,21592000,21593000,21560000,39413017, ,N,00:00.0,00:00.0,12,0,L,0,0,A,A9954,0,0,B17,0,0,,1,N,DC101,N
B5085,N,DH - DAIMLER FINANCIAL SERVICES OFFER 4,,39414010,21312, ,B16,B19,B27,560,CLA, ,Y,N,N, ,EOD6,EXIMIT,33:11.0,02:08.0,,,,,N, ,N,,,A,,, ,, ,,,,,N,0,0,0,,,,,,, ,Y, ,N,B31,,,0,0, ,0, ,0,0,0,0, ,,,,,39414017,,,,,39414017,,, , ,0,0,21313,0,0, , ,DC1,21692000,21693000,21660000,39414017, ,N,00:00.0,00:00.0,12,0,L,0,0,A,A9954,0,0,B17,0,0,,1,N,DC101,N
B5086,N,NH - DAIMLER FINANCIAL SERVICES OFFER 6,,39411010,21112, ,B16,B19,B27,560,CLA, ,Y,N,N, ,ASSET2,EXIMIT,42:05.0,08:21.0,,,,,N, ,N,,,A,,, ,, ,,,,,N,0,0,0,,,,,,, ,Y, ,N,B31,,,0,0, ,0, ,0,0,0,0, ,,,,,39411017,,,,,39411017,,, , ,0,0,21113,0,0, , ,DC1,21492000,21493000,21460000,39411017, ,N,00:00.0,00:00.0,12,0,L,0,0,A,A9954,12,0,B17,0,0,,1,N,DC102,N
B5087,N,TH - DAIMLER FINANCIAL SERVICES OFFER 6,,39413010,21212, ,B16,B19,B27,560,CLA, ,Y,N,N, ,ASSET2,EXIMIT,42:32.0,09:33.0,,,,,N, ,N,,,A,,, ,, ,,,,,N,0,0,0,,,,,,, ,Y, ,N,B31,,,0,0, ,0, ,0,0,0,0, ,,,,,39413017,,,,,39413017,,, , ,0,0,21213,0,0, , ,DC1,21592000,21593000,21560000,39413017, ,N,00:00.0,00:00.0,12,0,L,0,0,A,A9954,0,0,B17,0,0,,1,N,DC102,N
B5088,N,DH - DAIMLER FINANCIAL SERVICES OFFER 6,,39414010,21312, ,B16,B19,B27,560,CLA, ,Y,N,N, ,EOD6,EXIMIT,05:35.0,10:41.0,,,,,N, ,N,,,A,,, ,, ,,,,,N,0,0,0,,,,,,, ,Y, ,N,B31,,,0,0, ,0, ,0,0,0,0, ,,,,,39414017,,,,,39414017,,, , ,0,0,21313,0,0, , ,DC1,21692000,21693000,21660000,39414017, ,N,00:00.0,00:00.0,12,0,L,0,0,A,A9954,0,0,B17,0,0,,1,N,DC102,N
70107,N,TGDN KY HAN TU CHON - TRONG NUOC TREN 12 THANG - 360,49110000,,,N,DB2,DF2,,550,TDA,Y,N,N,B,Y,EXIMIT,BPD1,52:34.0,54:41.0,,,,,Y, ,N,,,X,,, ,,N,,HD3,,,Y,0,0,0,,,,,,, ,Y,Y,N,GA2,,,0,0, ,0, ,0,0,0,0, ,,,,,,,,,80102000,,,, , ,0,0,,0,0, ,O,,,,,,N, ,00:00.0,00:00.0,0,0, ,0,0, ,,0,0,,0,999,LÃI CUỐI KỲ,1, ,,N
70108,N,KY QUY DB TT THE CTY - TREN 12 THANG - 360,49110000,,,N,DB2,DF2,,550,TDA,Y,N,N,B,Y,EXIMITV,BPD1,01:33.0,58:09.0,,,,,Y, ,N,,,X,,, ,,N,,HD3,,,Y,0,0,0,,,,,,, ,Y,Y,N,GA2,,,0,0, ,0, ,0,0,0,0, ,,,,,,,,,80102000,,,, , ,0,0,,0,0, ,O,,,,,,N, ,00:00.0,00:00.0,0,0, ,0,0, ,,0,0,,0,999,LÃI CUỐI KỲ,1, ,,N
70109,N,KQ HOAT DONG DOANH NGHIEP - LCK - 360,49110000,,,N,DB2,DF2,,550,TDA,Y,N,N,B,Y,EXIMITV,BPD1,01:43.0,58:43.0,,,,,Y, ,N,,,X,,, ,,N,,HD3,,,Y,0,0,0,,,,,,, ,Y,Y,N,GA2,,,0,0, ,0, ,0,0,0,0, ,,,,,,,,,80102000,,,, , ,0,0,,0,0, ,O,,,,,,N, ,00:00.0,00:00.0,0,0, ,0,0, ,,0,0,,0,999,LÃI CUỐI KỲ,1, ,,N
R5204,N,TH - O^ CT LS 9%/NAM - CO DINH 12 THANG DAU,,39413000,21210, ,A29,A26,A30,560,LAA, ,Y,N,B, ,ASSET3,ASSET3,51:32.0,51:32.0,,,,,N, ,N,,,A,,A05, ,, ,,,,,N,0,0,0,,,,,,, ,Y, ,N,A07,,,0,0, ,0, ,0,0,0,0, ,,,,,39413007,,,,,39413007,,, , ,0,0,21211,0,0, , ,R06,21292000,21293000,21260000,39413007,N,N,00:00.0,00:00.0,12,0,L,0,0,A,A2010,1,0,,18,65,,1,N,R0633,N
R5205,N,DH - O^ CT LS 9%/NAM - CO DINH 12 THANG DAU,,39414000,21310, ,A29,A26,A30,560,LAA, ,Y,N,B, ,QUE.HP,ASSET3,13:56.0,52:19.0,,,,,N, ,N,,,A,,A05, ,, ,,,,,N,0,0,0,,,,,,, ,Y, ,N,A07,,,0,0, ,0, ,0,0,0,0, ,,,,,39414007,,,,,39414007,,, , ,0,0,21311,0,0, , ,R06,21392000,21393000,21360000,39414007,N,N,00:00.0,00:00.0,12,0,L,0,0,A,A2010,1,0,,18,65,,1,N,R0633,N
R5206,N,TH - P^ CT LS 9%/NAM - CO DINH 24 THANG DAU,,39413000,21210, ,A29,A26,A30,560,LAA, ,Y,N,B, ,ASSET3,ASSET3,53:03.0,53:03.0,,,,,N, ,N,,,A,,A05, ,, ,,,,,N,0,0,0,,,,,,, ,Y, ,N,A07,,,0,0, ,0, ,0,0,0,0, ,,,,,39413007,,,,,39413007,,, , ,0,0,21211,0,0, , ,R06,21292000,21293000,21260000,39413007,N,N,00:00.0,00:00.0,24,0,L,0,0,A,A2010,1,0,,18,65,,1,N,R0634,N
R5207,N,DH - P^ CT LS 9%/NAM - CO DINH 24 THANG DAU,,39414000,21310, ,A29,A26,A30,560,LAA, ,Y,N,B, ,ANH.DTP,ASSET3,33:21.0,53:55.0,,,,,N, ,N,,,A,,A05, ,, ,,,,,N,0,0,0,,,,,,, ,Y, ,N,A07,,,0,0, ,0, ,0,0,0,0, ,,,,,39414007,,,,,39414007,,, , ,0,0,21311,0,0, , ,R06,21392000,21393000,21360000,39414007,N,N,00:00.0,00:00.0,24,0,L,0,0,A,A2010,1,0,,18,65,,1,N,R0634,N
R5208,N,NH - Q^ CT LS 10%/NAM - CO DINH 12 THANG DAU,,39411000,21110, ,A29,A26,A30,560,LAA, ,Y,N,B, ,ASSET3,ASSET3,54:35.0,54:35.0,,,,,N, ,N,,,A,,A05, ,, ,,,,,N,0,0,0,,,,,,, ,Y, ,N,A07,,,0,0, ,0, ,0,0,0,0, ,,,,,39411007,,,,,39411007,,, , ,0,0,21111,0,0, , ,R06,21192000,21193000,21160000,39411007,N,N,00:00.0,00:00.0,12,0,L,0,0,A,A2010,1,0,,18,65,,1,N,R0635,N
B5073,N,TH - FIN THACO - 9%/NAM,,39413010,21212, ,B16,B19,B27,560,CLA, ,Y,N,N, ,EXIMIT,EXIMIT,51:25.0,09:54.0,,,,,N, ,N,,,A,,, ,, ,,,,,N,0,0,0,,,,,,, ,Y, ,N,B21,,,0,0, ,0, ,0,0,0,0, ,,,,,39413017,,,,,39413017,,, , ,0,0,21213,0,0, , ,C02,21592000,21593000,21560000,39413017, ,N,00:00.0,00:00.0,12,0,L,0,0,A,A9954,1,0,B17,0,0,,1,N,C0214,N
B5074,N,DH - FIN THACO - 9%/NAM,,39414010,21312, ,B16,B19,B27,560,CLA, ,Y,N,N, ,EXIMIT,EXIMIT,42:32.0,10:49.0,,,,,N, ,N,,,A,,, ,, ,,,,,N,0,0,0,,,,,,, ,Y, ,N,B21,,,0,0, ,0, ,0,0,0,0, ,,,,,39414017,,,,,39414017,,, , ,0,0,21313,0,0, , ,C02,21692000,21693000,21660000,39414017, ,N,00:00.0,00:00.0,12,0,L,0,0,A,A9954,1,0,B17,0,0,,1,N,C0214,N
A5093,N,TH - DAIMLER FINANCIAL SERVICES OFFER 3,,39413000,21210, ,A29,A26,A30,560,LAA, ,Y,N,B, ,ASSET2,ASSET1,37:32.0,05:57.0,,,,,N, ,N,,,A,,A05, ,, ,,,,,N,0,0,0,,,,,,, ,Y, ,N,A37,,,0,0, ,0, ,0,0,0,0, ,,,,,39413007,,,,,39413007,,, , ,0,0,21211,0,0, , ,DR1,21292000,21293000,21260000,39413007,N,N,00:00.0,00:00.0,12,0,L,0,0,A,A2010,1,0,,18,65,,1,N,DR101,N
A5096,N,TH - DAIMLER FINANCIAL SERVICES OFFER 4,,39413000,21210, ,A29,A26,A30,560,LAA, ,Y,N,B, ,ASSET2,ASSET1,52:29.0,07:27.0,,,,,N, ,N,,,A,,A05, ,, ,,,,,N,0,0,0,,,,,,, ,Y, ,N,A37,,,0,0, ,0, ,0,0,0,0, ,,,,,39413007,,,,,39413007,,, , ,0,0,21211,0,0, , ,DR1,21292000,21293000,21260000,39413007,N,N,00:00.0,00:00.0,12,0,L,0,0,A,A2010,1,0,,18,65,,1,N,DR103,N
A5109,N,TH - FIN THACO - 8%/NAM,,39413000,21210, ,A29,A26,A30,560,LAA, ,Y,N,B, ,ANH.DTP,ASSET1,32:28.0,27:01.0,,,,,N, ,N,,,A,,A05, ,, ,,,,,N,0,0,0,,,,,,, ,Y, ,N,A07,,,0,0, ,0, ,0,0,0,0, ,,,,,39413007,,,,,39413007,,, , ,0,0,21211,0,0, , ,,21292000,21293000,21260000,39413007,N,N,00:00.0,00:00.0,12,0,L,0,0,A,A2010,1,0,,18,65,,1,N,,N
A0023,N,NH - CHO VAY DB BANG GTCG VND DO EIB PHAT HANH,,39416000,21120, ,A29,A26,A30,560,LAA, ,Y,N,B, ,HAO.QC,BPD1,37:43.0,26:48.0,,,,,N, ,N,,,A,,A05, ,, ,,,,,N,0,0,0,,,,,,, ,N, , ,A35,,,0,0, ,0, ,0,0,0,0, ,,,,,39416007,,,,,39416007,,, , ,0,0,21121,0,0, , ,R02,21192001,21193001,21160001,39416007,N,N,00:00.0,00:00.0,0,0,C,0,0,A,,0,0,,18,65,,1,N,R0203,N
A0024,N,TH - CHO VAY DB BANG GTCG VND DO EIB PHAT HANH,,39416100,21120, ,A29,A26,A30,560,LAA, ,Y,N,B, ,HAO.QC,BPD1,38:35.0,26:59.0,,,,,N, ,N,,,A,,A05, ,, ,,,,,N,0,0,0,,,,,,, ,N, , ,A35,,,0,0, ,0, ,0,0,0,0, ,,,,,39416107,,,,,39416107,,, , ,0,0,21221,0,0, , ,R02,21292001,21293001,21260001,39416107,N,N,00:00.0,00:00.0,0,0,C,0,0,A,,0,0,,18,65,,1,N,R0201,N
A5247,N,NH - 9@ CHO VAY NGAN HAN SXKD DOI VOI KH CU DUOI 6T,,39411000,, ,A29,A26,A30,560,LAA, ,Y,N,B, ,LINH.ND,LINH.ND,27:38.0,42:10.0,,,,,N, ,N,,,A,,A05, ,, ,,,,,N,0,0,0,,,,,,, ,Y, ,N,A07,,,0,0, ,0, ,0,0,0,0, ,,,,,39411007,,,,,39411007,,, , ,0,0,21111,0,0, , ,R05,21192000,21193000,21160000,39411007,N,N,00:00.0,00:00.0,0,0,M,1,0,A,,0,0,,18,65,,1,N,R0504,N
B5195,N,NH - 1# CHO VAY UDLS 1.500 TY  2 THANG,,39411010,, ,B16,B19,B27,560,CLA, ,Y,N,N, ,LINH.ND,LINH.ND,39:04.0,51:50.0,,,,,N, ,N,,,A,,, ,, ,,,,,N,0,0,0,,,,,,, ,Y, ,N,B21,,,0,0, ,0, ,0,0,0,0, ,,,,,39411017,,,,,39411017,,, , ,0,0,21113,0,0, , ,C02,21492000,21493000,21460000,39411017, ,N,00:00.0,00:00.0,0,0,F,0,0,A,,0,0,B17,0,0,,1,N,C0299,N
B5196,N,NH - 1# CHO VAY UDLS 1.500 TY 3 THANG,,39411010,, ,B16,B19,B27,560,CLA, ,Y,N,N, ,HAO.QC,LINH.ND,00:10.0,53:11.0,,,,,N, ,N,,,A,,, ,, ,,,,,N,0,0,0,,,,,,, ,Y, ,N,B21,,,0,0, ,0, ,0,0,0,0, ,,,,,39411017,,,,,39411017,,, , ,0,0,21113,0,0, , ,C02,21492000,21493000,21460000,39411017, ,N,00:00.0,00:00.0,0,0,F,0,0,A,,0,0,B17,0,0,,1,N,C0299,N
B5188,N,NH - 3@ FIN PLAS - PACK (1),,39411010,, ,B16,B19,B27,560,CLA, ,Y,N,N, ,ANH.DTP,LINH.ND,33:32.0,59:38.0,,,,,N, ,N,,,A,,, ,, ,,,,,N,0,0,0,,,,,,, ,Y, ,N,B21,,,0,0, ,0, ,0,0,0,0, ,,,,,39411017,,,,,39411017,,, , ,0,0,21113,0,0, , ,C02,21492000,21493000,21460000,39411017, ,N,00:00.0,00:00.0,0,0,F,0,0,A,,0,0,B17,0,0,,1,N,C0201,N
